,Time Step,Episode,Step in Episode,Gen Loss
210,105500,1123,48,46.966468302408856
211,106000,1125,148,46.945304997762044
212,106500,1130,28,46.80637702941895
213,107000,1132,128,46.821895599365234
214,107500,1137,81,46.759660212198895
215,108000,1140,31,46.7294859568278
216,108500,1144,72,46.64959424336751
217,109000,1147,46,46.55089594523112
218,109500,1150,109,46.49863268534342
219,110000,1155,42,46.5676015218099
220,110500,1159,54,46.566680399576825
221,111000,1164,36,46.42813568115234
222,111500,1167,8,46.38957799275716
223,112000,1173,23,46.384792455037434
224,112500,1176,184,46.42223180135091
225,113000,1179,89,46.34993311564128
226,113500,1183,96,46.293521372477215
227,114000,1186,91,39.26296068827311
228,114500,1188,191,46.08331095377604
229,115000,1193,27,46.19057693481445
230,115500,1196,136,46.213599395751956
231,116000,1200,22,46.0508056640625
232,116500,1206,33,46.144374974568684
233,117000,1210,4,45.883537928263344
234,117500,1213,52,46.05674692789714
235,118000,1216,141,45.645455805460614
236,118500,1221,19,45.91337725321452
237,119000,1224,96,45.8206371307373
238,119500,1228,81,45.81249402364095
239,120000,1232,31,45.68435414632162
240,120500,1235,133,45.62530097961426
241,121000,1239,3,45.73756217956543
242,121500,1242,13,44.746940994262694
243,122000,1247,30,44.66848271687825
244,122500,1250,154,43.412356821695965
245,123000,1254,69,26.973112233479817
246,123500,1260,65,24.549957529703775
247,124000,1264,10,44.746508534749346
248,124500,1268,114,42.53839899698893
249,125000,1273,33,37.39499905904134
250,125500,1277,100,41.662292098999025
251,126000,1280,186,45.33416302998861
252,126500,1283,151,43.255278778076175
253,127000,1288,121,42.925306193033855
254,127500,1294,30,45.230293655395506
255,128000,1297,49,44.98138567606608
256,128500,1300,98,44.07910448710124
257,129000,1304,92,45.00472183227539
258,129500,1307,91,45.14058329264323
259,130000,1309,191,44.91635309855143
260,130500,1313,44,44.894082132975264
261,131000,1318,57,45.081129455566405
262,131500,1324,54,44.96661580403646
263,132000,1328,112,44.97020467122396
264,132500,1333,46,45.01253890991211
265,133000,1339,117,45.024906921386716
266,133500,1342,80,44.94359486897786
267,134000,1346,92,44.9197494506836
268,134500,1349,110,44.80728365580241
269,135000,1353,27,44.79660301208496
270,135500,1358,36,44.782111994425456
271,136000,1362,81,44.739104970296225
272,136500,1366,33,44.757599131266275
273,137000,1372,1,44.60652465820313
274,137500,1376,59,44.68069127400716
275,138000,1380,46,44.87101300557455
276,138500,1385,55,44.62834955851237
277,139000,1388,9,44.61746012369792
278,139500,1391,153,44.6575922648112
279,140000,1396,32,44.60461209615072
280,140500,1399,186,44.638861083984374
281,141000,1403,99,44.559241485595706
282,141500,1408,60,44.440176518758136
283,142000,1412,61,44.432502619425456
284,142500,1416,107,44.3149112701416
285,143000,1422,12,44.37657636006673
286,143500,1425,160,44.2431458791097
287,144000,1428,188,44.33354276021321
288,144500,1432,90,44.24582735697428
289,145000,1436,51,44.05770047505697
290,145500,1446,36,44.306952794392906
291,146000,1455,71,44.4199774424235
292,146500,1466,47,44.580082194010416
293,147000,1471,141,44.65968004862467
294,147500,1474,41,44.73860460917155
295,148000,1477,131,44.48366902669271
296,148500,1481,48,44.579367319742836
297,149000,1484,1,44.39457842508952
298,149500,1487,21,44.46008173624674
299,150000,1490,37,44.38948580423991
300,150500,1493,90,44.3823237101237
301,151000,1498,21,44.17269401550293
302,151500,1502,69,45.986876805623375
303,152000,1506,48,44.18446286519369
304,152500,1509,45,44.36059773763021
305,153000,1511,145,43.945854059855144
306,153500,1514,88,44.11499392191569
307,154000,1518,9,43.954659652709964
308,154500,1521,22,44.038739903767905
309,155000,1525,183,44.097483189900714
310,155500,1529,120,43.98245073954264
311,156000,1533,66,43.90609334309896
312,156500,1536,165,44.045387013753256
313,157000,1539,120,43.83215052286784
314,157500,1543,37,43.92955754597982
315,158000,1547,74,43.89574381510417
316,158500,1551,125,43.941355260213214
317,159000,1554,37,43.80273717244466
318,159500,1557,83,43.84743715922038
319,160000,1560,95,43.84784049987793
320,160500,1563,34,43.59700406392415
321,161000,1567,183,43.79215621948242
322,161500,1570,83,43.672663879394534
323,162000,1573,93,43.503905614217125
324,162500,1582,11,43.726726659139
325,163000,1589,109,43.71469637552897
326,163500,1594,38,43.67936185201009
327,164000,1597,132,43.409393056233725
328,164500,1601,122,43.5290111541748
329,165000,1605,65,43.62727686564128
330,165500,1608,33,43.5078675587972
331,166000,1612,71,43.508273696899415
332,166500,1615,90,43.48183453877767
333,167000,1619,7,43.4111696879069
334,167500,1622,96,43.51218249003092
335,168000,1625,91,43.476013819376625
336,168500,1628,76,43.34005622863769
337,169000,1631,45,43.22781244913737
338,169500,1633,146,43.363351058959964
339,170000,1637,164,43.27890968322754
340,170500,1640,64,43.09699071248372
341,171000,1642,164,43.086151123046875
342,171500,1646,139,43.10733261108398
343,172000,1649,95,43.14680391947429
344,172500,1654,58,43.14560686747233
345,173000,1656,188,42.98861312866211
346,173500,1659,135,43.187451171875
347,174000,1663,103,43.038438161214195
348,174500,1667,36,42.86725476582845
349,175000,1670,104,42.89967397054036
350,175500,1675,7,42.943560409545896
351,176000,1678,118,42.88724416097005
352,176500,1682,123,42.86908111572266
353,177000,1685,23,42.81283734639486
354,177500,1690,135,42.81396230061849
355,178000,1693,88,42.72965037027995
356,178500,1697,174,42.76705525716146
357,179000,1702,22,42.74924736022949
358,179500,1705,134,42.67643674214681
359,180000,1708,176,42.77163785298665
360,180500,1711,76,42.68023452758789
361,181000,1713,176,42.65908571879069
362,181500,1716,83,42.527600606282554
363,182000,1719,53,42.601984278361
364,182500,1722,59,42.416094589233396
365,183000,1727,18,42.46602516174316
366,183500,1730,16,42.4814645131429
367,184000,1735,38,42.590775934855145
368,184500,1739,78,42.42389043172201
369,185000,1742,165,42.36324691772461
370,185500,1747,102,42.31821352640788
371,186000,1752,122,42.42659352620443
372,186500,1758,99,42.48225008646647
373,187000,1763,31,42.354043070475264
374,187500,1765,191,42.43040313720703
375,188000,1770,80,42.32934366861979
376,188500,1773,72,42.57712275187175
377,189000,1777,2,42.329144922892254
378,189500,1780,52,42.34226493835449
379,190000,1785,89,42.10823364257813
380,190500,1789,92,42.47080764770508
381,191000,1795,17,42.374620819091795
382,191500,1800,25,42.3630739847819
383,192000,1803,111,42.22218411763509
384,192500,1806,11,42.353974151611325
385,193000,1809,1,42.232033284505206
386,193500,1812,80,42.15047442118327
387,194000,1816,21,42.17619374593099
388,194500,1820,7,42.208611424763994
389,195000,1823,134,42.05317649841309
390,195500,1826,85,42.15371487935384
391,196000,1830,125,41.884416071573895
392,196500,1834,48,42.0573314666748
393,197000,1836,148,41.91161244710286
394,197500,1839,141,42.00700200398763
395,198000,1845,147,41.90580177307129
396,198500,1849,35,41.99306246439616
397,199000,1852,61,41.9668685913086
398,199500,1855,140,41.82906354268392
399,200000,1858,40,41.93231252034505
400,200500,1862,52,41.81396293640137
401,201000,1865,45,41.88503328959147
402,201500,1868,122,41.88561414082845
403,202000,1874,55,41.92315622965495
404,202500,1881,40,41.87108586629232
405,203000,1886,21,41.80391286214193
406,203500,1890,72,42.00644187927246
407,204000,1892,172,42.04009666442871
408,204500,1896,14,41.75401725769043
409,205000,1901,27,41.68182601928711
410,205500,1904,80,41.48970006306966
411,206000,1909,5,41.71144129435221
412,206500,1912,40,41.67730967203776
413,207000,1917,77,41.769867706298825
414,207500,1920,82,41.84830881754557
415,208000,1924,114,41.69666582743327
416,208500,1927,85,41.87309354146321
417,209000,1934,94,41.941145706176755
418,209500,1938,124,41.78520965576172
419,210000,1942,151,41.81141993204753
420,210500,1948,4,41.731963602701825
421,211000,1951,67,41.623012415568034
422,211500,1954,60,41.63038419087728
423,212000,1959,192,41.73707186381022
424,212500,1963,115,41.66167818705241
425,213000,1967,92,41.73866704305013
426,213500,1971,162,41.71476122538249
427,214000,1974,62,41.6343443552653
428,214500,1979,67,41.679756546020506
429,215000,1982,70,41.65101776123047
430,215500,1986,49,41.58233019510905
431,216000,1989,157,41.55702540079753
432,216500,1993,31,41.51102714538574
433,217000,1996,29,41.574398549397785
434,217500,2000,143,41.44366633097331
435,218000,2005,27,41.465502166748045
436,218500,2009,81,41.5205441792806
437,219000,2015,44,41.71067008972168
438,219500,2019,86,41.333569844563804
439,220000,2023,25,41.62228775024414
440,220500,2025,125,41.63020871480306
441,221000,2028,153,41.42929509480794
442,221500,2032,40,41.345119857788085
443,222000,2036,26,41.472168350219725
444,222500,2041,152,41.27812042236328
445,223000,2045,17,41.36048838297526
446,223500,2048,7,41.38098640441895
447,224000,2053,24,41.31228510538737
448,224500,2058,36,41.39074338277181
449,225000,2062,26,41.17643979390462
450,225500,2065,40,41.113290532430014
451,226000,2069,4,41.416748046875
452,226500,2072,121,41.18542505900065
453,227000,2076,42,41.34789810180664
454,227500,2079,51,41.12269503275554
455,228000,2082,147,41.3160639444987
456,228500,2088,58,41.197218322753905
457,229000,2092,120,41.101280721028644
458,229500,2096,125,41.19154370625814
459,230000,2101,114,41.11989377339681
460,230500,2106,90,41.23510513305664
461,231000,2110,44,41.261461639404295
462,231500,2113,140,41.06283683776856
463,232000,2118,99,41.1929012298584
464,232500,2121,162,41.188193003336586
465,233000,2126,43,41.12627588907878
466,233500,2129,60,41.09602292378744
467,234000,2132,63,40.932110977172854
468,234500,2136,165,41.07135429382324
469,235000,2143,24,41.09323247273763
470,235500,2148,21,41.40185038248698
471,236000,2151,159,41.144201787312824
472,236500,2154,157,41.32682469685872
473,237000,2158,76,40.98067855834961
474,237500,2161,38,40.970652135213214
475,238000,2167,184,40.97620786031087
476,238500,2171,35,41.15701535542806
477,239000,2173,177,41.066174570719404
478,239500,2179,122,40.91084213256836
479,240000,2184,63,41.13902180989583
480,240500,2189,36,41.03361701965332
481,241000,2193,139,40.872837956746416
482,241500,2197,92,40.856703440348305
483,242000,2201,51,40.93197390238444
484,242500,2204,90,40.92589747111003
485,243000,2210,77,40.86686401367187
486,243500,2215,23,41.054012552897134
487,244000,2218,90,40.85917142232259
488,244500,2221,28,40.87165832519531
489,245000,2225,122,40.88789774576823
