,Time Step,Episode,Step in Episode,Shield Loss
145,29200,506,1,-7.270306396484375
146,29400,507,1,-13.191890907287597
147,29600,508,155,-18.226509698232015
148,29800,511,121,-13.822256724039713
149,30000,513,172,-15.619815063476562
150,30200,517,9,-18.738831583658854
151,30400,522,45,-22.381415557861327
152,30600,524,9,-22.372738329569497
153,30800,525,11,-18.580478858947753
154,31000,526,105,-18.92738285064697
155,31200,530,31,-18.33872241973877
156,31400,537,2,-22.663170909881593
157,31600,538,59,-25.960018634796143
158,31800,541,94,-26.204502932230632
159,32000,543,158,-30.049935340881348
160,32200,546,89,-31.3933510462443
161,32400,548,69,-19.900378036499024
162,32600,553,16,-19.463350423177083
163,32800,556,23,-20.41692689259847
164,33000,560,1,-20.841002909342446
165,33200,561,179,-16.569921445846557
166,33400,564,125,-17.772432963053387
167,33600,566,114,-17.9447426478068
168,33800,569,21,-2.470896367232005
169,34000,570,23,-6.650881175200144
170,34200,571,26,-10.233485968907674
171,34400,573,20,-6.363234408696493
172,34600,576,108,-12.235152117411296
173,34800,578,51,-16.12260495821635
174,35000,579,51,-1.9926499048868815
175,35200,580,78,-14.176407114664714
176,35400,581,174,-17.84183801015218
177,35600,584,90,-4.398521121342977
178,35800,586,94,-13.54715280532837
179,36000,589,108,-21.203472391764322
180,36200,590,111,-26.689183108011882
181,36400,591,167,-37.38613624572754
182,36600,593,34,-42.658368301391604
183,36800,594,127,-36.93071638743083
184,37000,597,84,-39.71302350362142
185,37200,599,110,-37.79802335103353
186,37400,602,32,-37.73778762817383
187,37600,603,32,-16.11752421061198
188,37800,604,32,-13.119992129007976
189,38000,605,32,-21.984594917297365
190,38200,606,98,-28.776355171203612
191,38400,607,98,-18.36942523320516
192,38600,609,41,-23.496181551615397
193,38800,610,83,-29.799128786722818
194,39000,611,168,-32.11136134465536
195,39200,612,168,-32.489946047465004
196,39400,614,7,-35.75876960754395
197,39600,616,8,-41.073904037475586
198,39800,618,16,-37.51971613566081
199,40000,619,110,-25.63194332122803
200,40200,621,63,-26.66950600941976
201,40400,622,189,-13.543341946601867
202,40600,623,189,-34.70049336751302
203,40800,626,104,-34.56520023345947
204,41000,627,123,-26.965260569254557
205,41200,628,123,-35.416183153788246
206,41400,630,48,-29.566050148010255
207,41600,632,55,-18.277836481730144
208,41800,633,61,-21.481012026468914
209,42000,634,61,-23.64145959218343
210,42200,635,63,-27.772540473937987
211,42400,636,128,-28.73813648223877
212,42600,638,46,-35.77969716389974
213,42800,640,52,-33.33365408579508
214,43000,641,52,-35.146075057983396
215,43200,642,110,-30.39812602996826
216,43400,644,1,-32.86276264190674
217,43600,646,77,-36.26712156931559
218,43800,647,77,-39.48293965657552
219,44000,648,167,-32.34351450602214
220,44200,650,70,-32.72297293345134
221,44400,651,79,-32.24698677062988
222,44600,653,25,-19.684405358632407
223,44800,654,25,-13.872149658203124
224,45000,655,119,-16.53542709350586
225,45200,656,146,-40.50336844126384
226,45400,657,146,-26.52416884104411
227,45600,658,146,-38.76684303283692
228,45800,659,146,-40.45789782206217
229,46000,660,146,-40.51558609008789
230,46200,662,19,-1.9655589570601781
231,46400,663,63,-11.783612028757732
232,46600,665,120,-23.27011973063151
233,46800,667,59,-26.999207814534504
234,47000,668,127,-30.206996790568034
235,47200,670,44,-36.35319296518961
236,47400,671,56,-28.5609681447347
237,47600,672,67,-17.203986072540282
238,47800,674,124,-31.917277908325197
239,48000,675,124,-20.384536933898925
240,48200,676,124,-15.996220970153809
241,48400,677,131,-29.75007724761963
242,48600,678,131,-25.82574094136556
243,48800,680,130,-29.532657686869303
244,49000,681,130,-30.854155921936034
245,49200,683,34,-32.62880795796712
246,49400,684,71,-23.746585210164387
247,49600,686,109,-19.771229616800944
248,49800,687,109,-11.766542212168376
249,50000,689,63,-13.846217695871989
250,50200,691,37,-10.006682697931925
251,50400,692,167,-26.19547233581543
252,50600,696,45,-20.367229557037355
253,50800,698,13,-27.067246691385904
254,51000,699,13,-24.91363747914632
255,51200,700,13,-25.303467241923013
256,51400,701,13,-26.694582176208495
257,51600,702,48,-16.900863901774088
258,51800,703,68,-26.251262791951497
259,52000,704,68,-17.565527725219727
260,52200,705,68,6.205513819058736
