,Time Step,Episode,Step in Episode,Shield Loss
112,22600,467,45,-18.002609284718833
113,22800,471,91,-15.02224063873291
114,23000,473,37,-20.2376402537028
115,23200,476,3,-18.980895614624025
116,23400,478,36,-17.50010690689087
117,23600,479,109,-17.71739492416382
118,23800,481,25,-14.314218298594158
119,24000,487,8,-14.021137873331705
120,24200,491,21,-11.927838675181071
121,24400,494,45,-14.154132270812989
122,24600,495,177,-20.288889185587564
123,24800,496,177,-32.50841604868571
124,25000,498,162,-31.001828893025717
125,25200,500,73,-26.68056125640869
126,25400,505,9,-34.06883875528971
127,25600,506,155,-24.2426726659139
128,25800,508,58,-16.97634064356486
129,26000,509,58,-22.624152533213298
130,26200,510,68,-14.439730644226074
131,26400,512,4,-5.924962504704793
132,26600,514,47,-9.313544877370198
133,26800,515,47,-25.426128737131755
134,27000,518,87,-26.324360593159994
135,27200,519,134,-16.24976135889689
136,27400,522,13,-27.81232852935791
137,27600,524,103,-28.101443799336753
138,27800,526,78,-19.129924519856772
139,28000,527,82,-31.727541732788087
140,28200,528,93,-33.13308340708415
141,28400,530,53,-32.765353520711265
142,28600,532,13,-30.454273859659832
143,28800,533,13,-31.227873293558755
144,29000,536,65,-26.513003222147624
145,29200,539,5,-30.091884104410806
146,29400,540,5,-30.62229283650716
147,29600,541,107,-32.24533602396647
148,29800,543,56,-32.21117846171061
149,30000,545,28,-33.35564333597819
150,30200,546,179,-28.640667215983072
151,30400,547,180,-34.489410654703775
152,30600,549,2,-35.79497248331706
153,30800,550,2,-31.214042472839356
154,31000,551,2,-31.03453909556071
155,31200,553,63,-33.99663225809733
156,31400,557,2,-27.867889149983725
157,31600,559,23,-27.736591593424478
158,31800,561,140,-28.265152168273925
159,32000,563,157,-31.91851323445638
160,32200,566,53,-29.993379720052083
161,32400,568,27,-37.58627497355143
162,32600,570,74,-31.61268113454183
163,32800,572,71,-35.25546366373698
164,33000,575,9,-23.296224117279053
165,33200,578,23,-27.840674781799315
166,33400,579,105,-20.393474706013997
167,33600,583,39,-26.10867519378662
168,33800,586,1,-27.82699457804362
169,34000,589,83,-19.362242380777996
170,34200,591,123,-21.197263971964517
171,34400,596,48,-24.676345952351888
172,34600,598,127,-28.244397735595705
173,34800,600,13,-28.778062629699708
174,35000,603,90,-26.8277795791626
175,35200,606,25,-30.32172616322835
176,35400,607,38,-29.319069480895998
177,35600,609,10,-22.916154289245604
178,35800,610,192,-23.35972646077474
179,36000,613,67,-25.9788413365682
180,36200,617,138,-18.75527146657308
181,36400,619,32,-29.273962465922036
182,36600,620,89,-37.40899480183919
183,36800,624,16,-30.473662249247234
184,37000,625,62,-34.772583897908525
185,37200,626,62,-12.97609634399414
186,37400,628,40,-18.613069343566895
187,37600,629,95,-29.197273635864256
188,37800,630,95,-43.41449801127116
189,38000,631,160,-45.45804964701335
190,38200,632,170,-34.31020374298096
191,38400,634,34,-36.94749895731608
192,38600,636,56,-22.6206610361735
193,38800,639,6,-27.619715817769368
194,39000,640,73,-30.219029808044432
195,39200,641,73,-25.631454722086588
196,39400,642,73,-29.67428143819173
197,39600,644,98,-31.855996513366698
198,39800,645,112,-41.05916633605957
199,40000,646,112,-43.08635787963867
200,40200,647,112,-39.94916343688965
201,40400,649,39,-29.403347714742026
202,40600,650,133,-24.27673969268799
203,40800,653,6,-17.88177868525187
204,41000,657,39,-25.159150886535645
205,41200,658,198,-14.05429141521454
206,41400,660,72,-17.276016743977866
207,41600,662,14,-20.292570495605467
